id,dbh,spp,method
150,14,fir,megaplot
151,11.1,fir,megaplot
152,17.5,fir,megaplot
153,8.4,fir,megaplot
154,42.8,spruce,megaplot
155,19.5,spruce,megaplot
156,6.9,spruce,megaplot
157,19.1,fir,megaplot
158,9.5,fir,megaplot
159,18.6,spruce,megaplot
160,9.5,fir,megaplot
161,10,fir,megaplot
162,13.5,fir,megaplot
163,11.4,fir,megaplot
164,18.3,fir,megaplot
165,19.6,fir,megaplot
166,16.5,fir,megaplot
167,7.1,fir,megaplot
168,9.9,fir,megaplot
169,19.6,spruce,megaplot
170,22.7,spruce,megaplot
171,28.8,spruce,megaplot
172,25.8,spruce,megaplot
173,11.7,fir,megaplot
174,11.1,fir,megaplot
175,7,fir,megaplot
176,8.2,fir,megaplot
177,8.7,fir,megaplot
178,7.6,fir,megaplot
179,9.5,fir,megaplot
180,10,spruce,megaplot
181,13.8,fir,megaplot
182,8.2,fir,megaplot
183,36.1,spruce,megaplot
184,9.9,fir,megaplot
185,6.1,fir,megaplot
186,12.5,fir,megaplot
187,25,spruce,megaplot
188,12,fir,megaplot
189,6.7,fir,megaplot
190,11.6,fir,megaplot
191,6.5,fir,megaplot
192,26,spruce,megaplot
193,6.5,fir,megaplot
194,23.8,spruce,megaplot
195,14.2,fir,megaplot
196,19.8,fir,megaplot
197,14,fir,megaplot
198,9,fir,megaplot
199,16.5,spruce,megaplot
200,7.4,fir,megaplot
201,10.8,fir,megaplot
202,15.5,fir,megaplot
203,13.1,fir,megaplot
204,9.6,fir,megaplot
205,7,fir,megaplot
206,7,fir,megaplot
207,9.2,spruce,megaplot
208,16.2,fir,megaplot
209,16.5,spruce,megaplot
210,8.7,spruce,megaplot
211,12,fir,megaplot
212,38.3,spruce,megaplot
213,12,fir,megaplot
214,12.5,fir,megaplot
215,16.1,fir,megaplot
216,24.9,fir,megaplot
217,14.1,spruce,megaplot
218,12.3,fir,megaplot
219,8.4,fir,megaplot
220,16.7,fir,megaplot
221,10.4,spruce,megaplot
222,11.8,spruce,megaplot
223,20.3,spruce,megaplot
224,7.1,fir,megaplot
225,9.2,fir,megaplot
226,13.6,fir,megaplot
227,8.5,fir,megaplot
228,16.9,spruce,megaplot
229,10.8,fir,megaplot
230,15.4,fir,megaplot
231,20.8,fir,megaplot
232,20.7,spruce,megaplot
233,14.1,fir,megaplot
234,13.5,spruce,megaplot
235,6.4,fir,megaplot
236,32,spruce,megaplot
237,41,spruce,megaplot
238,8.9,spruce,megaplot
239,12.8,fir,megaplot
240,33.6,fir,megaplot
241,12.5,spruce,megaplot
242,10.2,spruce,megaplot
243,26,spruce,megaplot
244,20.2,spruce,megaplot
245,14.5,spruce,megaplot
246,23.5,spruce,megaplot
247,30.1,spruce,megaplot
248,7.7,spruce,megaplot
249,20.8,fir,megaplot
250,15.5,fir,megaplot
251,16.7,spruce,megaplot
252,14.5,fir,megaplot
253,16.2,fir,megaplot
254,14.6,fir,megaplot
255,8.3,fir,megaplot
256,10.3,fir,megaplot
257,7.7,fir,megaplot
258,8.3,fir,megaplot
259,15.1,fir,megaplot
260,15.4,fir,megaplot
261,10,spruce,megaplot
262,7.5,fir,megaplot
263,14.1,spruce,megaplot
264,15.6,fir,megaplot
265,16,spruce,megaplot
266,18.7,fir,megaplot
267,7,spruce,megaplot
268,18.6,spruce,megaplot
269,17.4,spruce,megaplot
270,25.7,spruce,megaplot
271,13.2,spruce,megaplot
272,18.6,spruce,megaplot
273,23,spruce,megaplot
274,10.7,spruce,megaplot
275,14.5,fir,megaplot
276,8.4,fir,megaplot
277,26.4,spruce,megaplot
278,16.8,fir,megaplot
279,18.5,fir,megaplot
280,13,spruce,megaplot
281,9.6,spruce,megaplot
282,12.7,fir,megaplot
283,15.1,fir,megaplot
284,8,fir,megaplot
285,17.2,spruce,megaplot
286,12.6,fir,megaplot
287,11.5,fir,megaplot
288,6,fir,megaplot
289,19,spruce,megaplot
290,11.4,spruce,megaplot
291,8.8,fir,megaplot
292,12.5,fir,megaplot
293,19,fir,megaplot
294,17.8,fir,megaplot
295,16,fir,megaplot
296,24.9,fir,megaplot
297,18.6,fir,megaplot
298,8.2,fir,megaplot
299,10.7,fir,megaplot
300,6.1,fir,megaplot
301,23,fir,megaplot
302,11.1,fir,megaplot
303,7.2,fir,megaplot
304,6.5,fir,megaplot
305,7.1,fir,megaplot
306,7.9,spruce,megaplot
307,10,fir,megaplot
308,15.3,spruce,megaplot
309,12.8,spruce,megaplot
310,20.4,fir,megaplot
311,16.1,spruce,megaplot
312,10.3,spruce,megaplot
313,8.5,fir,megaplot
314,7.3,fir,megaplot
315,8.7,spruce,megaplot
316,8.6,spruce,megaplot
317,12.5,fir,megaplot
318,9.5,spruce,megaplot
319,19.8,spruce,megaplot
320,9,spruce,megaplot
321,13.2,spruce,megaplot
322,14.6,fir,megaplot
323,8.3,spruce,megaplot
324,8.2,spruce,megaplot
325,10.8,fir,megaplot
326,12.5,fir,megaplot
327,8.7,fir,megaplot
328,11.7,fir,megaplot
329,29.3,spruce,megaplot
330,6.8,fir,megaplot
331,15.4,fir,megaplot
332,8.7,spruce,megaplot
333,11.5,fir,megaplot
334,26,spruce,megaplot
335,26.5,spruce,megaplot
336,47.8,spruce,megaplot
337,8.3,fir,megaplot
338,7.2,fir,megaplot
339,9.7,fir,megaplot
340,15.5,fir,megaplot
341,9.2,fir,megaplot
342,10.3,fir,megaplot
343,12.3,fir,megaplot
344,13,spruce,megaplot
345,18.8,spruce,megaplot
346,17,spruce,megaplot
347,14.5,spruce,megaplot
348,15.6,fir,megaplot
349,10.5,fir,megaplot
350,17.5,spruce,megaplot
351,7.2,spruce,megaplot
352,6.4,spruce,megaplot
353,8,fir,megaplot
355,7,fir,megaplot
356,9.8,fir,megaplot
357,15.6,fir,megaplot
358,12.9,fir,megaplot
359,9.1,fir,megaplot
360,14,fir,megaplot
361,13.8,fir,megaplot
362,17.5,spruce,megaplot
363,8.9,spruce,megaplot
364,22,spruce,megaplot
365,18.4,spruce,megaplot
366,9.4,spruce,megaplot
367,18,fir,megaplot
368,9.9,fir,megaplot
369,11.7,fir,megaplot
370,23.6,fir,megaplot
371,9,fir,megaplot
372,12.6,fir,megaplot
373,9.4,fir,megaplot
374,9.1,fir,megaplot
375,7.1,fir,megaplot
376,10.9,fir,megaplot
377,13.9,spruce,megaplot
378,12.6,fir,megaplot
379,23.3,fir,megaplot
380,20.3,fir,megaplot
381,21.5,fir,megaplot
382,19,fir,megaplot
383,17.4,fir,megaplot
384,29.8,spruce,megaplot
385,12.6,fir,megaplot
386,13,fir,megaplot
387,13.1,fir,megaplot
388,6.8,fir,megaplot
389,14.2,fir,megaplot
390,8.9,fir,megaplot
391,28.5,spruce,megaplot
392,18.9,spruce,megaplot
393,18.5,spruce,megaplot
394,6.4,spruce,megaplot
395,12.9,fir,megaplot
396,6.1,fir,megaplot
397,15,fir,megaplot
398,8.8,spruce,megaplot
399,15.5,spruce,megaplot
400,10.3,fir,megaplot
401,7.5,fir,megaplot
402,11.4,fir,megaplot
403,7.6,spruce,megaplot
404,18.5,spruce,megaplot
405,7.5,spruce,megaplot
406,11.2,fir,megaplot
407,8,fir,megaplot
408,22.3,fir,megaplot
409,9.6,fir,megaplot
410,27.1,spruce,megaplot
411,19.3,fir,megaplot
412,10.1,fir,megaplot
413,18,fir,megaplot
414,19.2,spruce,megaplot
415,14.3,fir,megaplot
416,8,fir,megaplot
417,6.8,fir,megaplot
418,8.2,fir,megaplot
419,10.7,fir,megaplot
420,13.5,fir,megaplot
421,6.5,fir,megaplot
422,8.7,fir,megaplot
423,30.1,spruce,megaplot
424,24,spruce,megaplot
425,6.9,fir,megaplot
426,20.7,fir,megaplot
427,17.9,fir,megaplot
428,13,fir,megaplot
429,15.4,fir,megaplot
430,10.3,spruce,megaplot
431,19.5,spruce,megaplot
432,11.7,spruce,megaplot
433,8.2,spruce,megaplot
434,15.7,fir,megaplot
435,17.1,spruce,megaplot
436,14.7,fir,megaplot
437,17.4,spruce,megaplot
438,24.4,pine,megaplot
439,13,spruce,megaplot
440,6.1,spruce,megaplot
441,10.4,fir,megaplot
442,8.4,fir,megaplot
443,31.2,spruce,megaplot
444,7.5,fir,megaplot
445,20.9,spruce,megaplot
446,14.6,spruce,megaplot
447,11.6,fir,megaplot
448,10.6,fir,megaplot
449,17.2,fir,megaplot
450,6.6,fir,megaplot
451,7.1,fir,megaplot
452,24,spruce,megaplot
453,8.1,fir,megaplot
454,11.4,fir,megaplot
455,8,fir,megaplot
456,7.2,fir,megaplot
457,10.8,fir,megaplot
458,6.9,spruce,megaplot
459,13.3,fir,megaplot
460,7.7,fir,megaplot
461,12,spruce,megaplot
462,9.1,fir,megaplot
463,23,spruce,megaplot
464,8.5,spruce,megaplot
465,17.5,spruce,megaplot
466,11.5,spruce,megaplot
467,10.3,spruce,megaplot
468,22,spruce,megaplot
469,8.3,spruce,megaplot
470,14,spruce,megaplot
471,15.1,spruce,megaplot
472,9.3,spruce,megaplot
473,10,spruce,megaplot
474,19.8,spruce,megaplot
475,7.6,spruce,megaplot
476,13.8,spruce,megaplot
477,15.3,spruce,megaplot
478,6.6,spruce,megaplot
479,10.5,spruce,megaplot
480,17,fir,megaplot
481,14.6,fir,megaplot
482,9.2,fir,megaplot
483,6.5,fir,megaplot
484,13.5,fir,megaplot
485,8.8,fir,megaplot
486,7.6,fir,megaplot
487,16,fir,megaplot
488,11.9,fir,megaplot
489,16.7,spruce,megaplot
490,15.5,fir,megaplot
491,12,fir,megaplot
492,24.4,spruce,megaplot
493,25.2,spruce,megaplot
494,7,fir,megaplot
495,22.7,spruce,megaplot
496,8.3,spruce,megaplot
497,16.1,spruce,megaplot
498,7.9,fir,megaplot
499,9.3,fir,megaplot
500,8.5,spruce,megaplot
501,8,fir,megaplot
502,9.7,fir,megaplot
503,7.8,fir,megaplot
504,10.6,fir,megaplot
505,7.2,fir,megaplot
506,8.6,fir,megaplot
507,7.1,fir,megaplot
508,9.6,fir,megaplot
509,18.8,fir,megaplot
510,6,spruce,megaplot
511,20.1,spruce,megaplot
512,8.6,spruce,megaplot
513,8.7,spruce,megaplot
514,20.4,spruce,megaplot
515,13,spruce,megaplot
516,10.2,fir,megaplot
517,9.7,fir,megaplot
518,16,fir,megaplot
519,8.5,spruce,megaplot
520,13.5,spruce,megaplot
521,36.8,spruce,megaplot
522,7,spruce,megaplot
523,9.1,spruce,megaplot
524,14.1,spruce,megaplot
525,12.3,fir,megaplot
526,14.3,fir,megaplot
527,9.1,spruce,megaplot
528,9,fir,megaplot
529,11.3,fir,megaplot
530,18,spruce,megaplot
531,6.6,fir,megaplot
532,12.7,spruce,megaplot
533,20.8,spruce,megaplot
534,13.6,fir,megaplot
535,23.2,spruce,megaplot
536,7.9,fir,megaplot
537,11.3,fir,megaplot
538,13.2,fir,megaplot
539,17,spruce,megaplot
540,23.1,spruce,megaplot
541,6.3,fir,megaplot
542,27.6,fir,megaplot
543,9.6,fir,megaplot
544,10.9,fir,megaplot
545,12.5,fir,megaplot
546,14.8,fir,megaplot
547,10.1,fir,megaplot
548,6.8,fir,megaplot
549,10.9,fir,megaplot
550,6.3,fir,megaplot
551,6.1,fir,megaplot
552,14.8,fir,megaplot
553,8.1,fir,megaplot
554,10.1,fir,megaplot
555,9,fir,megaplot
556,26.3,spruce,megaplot
557,11.5,spruce,megaplot
558,21.8,spruce,megaplot
559,17.7,spruce,megaplot
560,29,spruce,megaplot
561,25.3,spruce,megaplot
562,14,fir,megaplot
563,8.4,fir,megaplot
564,8.7,fir,megaplot
565,7.7,fir,megaplot
566,6.4,fir,megaplot
567,21.5,spruce,megaplot
568,19,spruce,megaplot
569,14.3,fir,megaplot
570,12,spruce,megaplot
571,30.5,spruce,megaplot
572,8.9,spruce,megaplot
573,13.9,spruce,megaplot
574,7.4,fir,megaplot
575,12,fir,megaplot
576,8.4,fir,megaplot
577,16.5,spruce,megaplot
578,6,fir,megaplot
579,6.4,fir,megaplot
580,26.2,spruce,megaplot
581,10.9,fir,megaplot
582,10.5,fir,megaplot
583,12.7,fir,megaplot
584,18,spruce,megaplot
585,24.9,spruce,megaplot
586,6.6,fir,megaplot
587,8,fir,megaplot
588,13.2,spruce,megaplot
589,20.5,spruce,megaplot
590,21.2,fir,megaplot
591,6.4,fir,megaplot
592,7.3,fir,megaplot
593,19.3,fir,megaplot
594,20.1,spruce,megaplot
595,7,fir,megaplot
596,12.9,fir,megaplot
597,19,spruce,megaplot
598,9.4,spruce,megaplot
599,10.1,spruce,megaplot
600,10.8,spruce,megaplot
601,21.4,spruce,megaplot
602,8.3,fir,megaplot
603,9.9,fir,megaplot
604,10.1,fir,megaplot
605,11.2,fir,megaplot
606,6.8,fir,megaplot
607,13.5,fir,megaplot
608,18.7,fir,megaplot
609,7.5,spruce,megaplot
610,7.1,fir,megaplot
611,11.9,fir,megaplot
612,12.2,pine,pcq
613,11,spruce,pcq
614,28.9,pine,pcq
615,13,pine,pcq
616,13.9,fir,pcq
617,13.5,spruce,pcq
618,12.2,fir,pcq
619,13.8,spruce,pcq
620,9.7,fir,pcq
621,14.1,fir,pcq
622,12.5,fir,pcq
623,6,fir,pcq
624,15.2,pine,pcq
625,30.4,pine,pcq
626,14.3,fir,pcq
627,8.3,fir,pcq
628,19.4,fir,pcq
629,12.4,fir,pcq
630,26,spruce,pcq
631,14.2,fir,pcq
632,28.2,pine,pcq
633,20.1,spruce,pcq
634,9,spruce,pcq
635,9.1,fir,pcq
636,13.8,pine,pcq
637,22.7,pine,pcq
638,14.5,pine,pcq
639,8,fir,pcq
640,22.9,spruce,pcq
641,7.1,fir,pcq
642,13,fir,pcq
643,7.7,fir,pcq
644,17.4,spruce,pcq
645,15.1,fir,pcq
646,25,pine,pcq
647,31.3,spruce,pcq
648,17.5,fir,pcq
649,19,fir,pcq
650,9.6,pine,pcq
651,14.4,fir,pcq
652,19.2,pine,pcq
653,16.2,spruce,pcq
654,14.7,fir,pcq
655,9.5,fir,pcq
656,13.4,fir,pcq
657,7.6,spruce,pcq
658,6,spruce,pcq
659,8.7,spruce,pcq
660,17.6,spruce,pcq
661,27.6,pine,pcq
662,6.7,fir,pcq
663,14.8,pine,pcq
664,36.8,spruce,pcq
665,16.1,spruce,pcq
666,17,pine,pcq
667,12.3,fir,pcq
668,10.5,fir,pcq
669,11.2,fir,pcq
670,13.5,fir,pcq
671,6.8,fir,pcq
672,14.5,pine,pcq
673,17.5,fir,pcq
674,8.9,pine,pcq
675,13.8,fir,pcq
676,11.7,fir,pcq
677,15.4,fir,pcq
678,8.7,spruce,pcq
679,26.5,pine,pcq
680,29.3,pine,pcq
681,21,fir,pcq
682,19.6,fir,pcq
683,20.1,fir,pcq
684,20.5,fir,pcq
685,21.2,spruce,pcq
686,12.3,fir,pcq
687,14.3,fir,pcq
688,7.1,fir,pcq
689,29,spruce,pcq
690,17.7,spruce,pcq
691,36.8,pine,pcq
692,28.7,spruce,pcq
693,25,fir,pcq
694,12.5,fir,pcq
695,8.7,fir,pcq
696,36.1,fir,pcq
697,41.4,pine,pcq
698,10,spruce,pcq
699,8.7,pine,pcq
700,18.7,fir,pcq
701,18.7,fir,pcq
702,12.7,fir,pcq
703,15.6,fir,pcq
704,27.6,pine,pcq
705,6.4,fir,pcq
706,9.5,fir,pcq
707,25.1,pine,pcq
708,10.1,fir,pcq
709,24.5,spruce,pcq
710,20.3,spruce,pcq
711,16.2,fir,pcq
712,15.3,fir,pcq
713,30.7,pine,pcq
714,13.5,fir,pcq
715,20.1,spruce,pcq
716,6.3,fir,pcq
717,21.7,fir,pcq
718,14.7,fir,pcq
719,22.3,spruce,pcq
720,7.1,pine,pcq
721,6.5,fir,pcq
722,11.5,fir,pcq
723,30.5,pine,pcq
724,32,pine,pcq
725,10.2,spruce,pcq
726,41,pine,pcq
727,19.8,fir,pcq
728,34.1,pine,pcq
729,30.7,pine,pcq
730,7.9,pine,pcq
731,19.5,fir,pcq
732,8.2,fir,pcq
733,17.3,fir,pcq
734,14.8,spruce,pcq
735,14,fir,pcq
736,6.2,spruce,pcq
737,10.3,fir,pcq
738,11.3,fir,pcq
739,15.1,spruce,pcq
740,20.9,spruce,pcq
741,30.8,pine,pcq
742,22.9,fir,pcq
743,25.6,pine,pcq
744,9.5,fir,pcq
745,12,fir,pcq
746,9.4,pine,pcq
747,19.1,fir,pcq
748,16.2,fir,pcq
749,8.5,fir,pcq
750,13.6,fir,pcq
751,20.3,spruce,pcq
752,20.8,fir,pcq
753,7.9,fir,pcq
754,9.5,fir,pcq
755,9.8,fir,pcq
756,16.2,fir,pcq
757,22.7,fir,pcq
758,20.3,pine,pcq
759,24.5,pine,pcq
760,19.7,pine,pcq
761,21.3,pine,pcq
762,11.9,spruce,pcq
763,15.1,fir,pcq
764,23.4,pine,pcq
765,9.3,fir,pcq
766,12.8,pine,pcq
767,13.9,pine,pcq
768,7.5,spruce,pcq
769,9.6,spruce,pcq
770,9.8,spruce,pcq
771,7.3,spruce,pcq
772,13.2,spruce,pcq
773,7.8,pine,pcq
774,18.9,pine,pcq
775,12.2,fir,pcq
776,11.8,pine,pcq
777,12.5,fir,pcq
778,22.4,pine,pcq
779,13.6,pine,pcq
780,11,fir,pcq
781,10.2,fir,pcq
782,6.3,fir,pcq
783,19.1,pine,pcq
784,15.9,pine,pcq
785,10.7,fir,pcq
786,15.5,pine,pcq
787,6.5,fir,pcq
788,16.4,spruce,pcq
789,6.7,fir,pcq
790,6.2,fir,pcq
791,11.3,fir,pcq
792,10.2,spruce,pcq
793,24.7,fir,pcq
794,11.1,pine,pcq
795,8.2,spruce,pcq
796,11.7,pine,pcq
797,14.8,pine,pcq
798,18.5,pine,pcq
799,11.2,pine,pcq
800,15.9,pine,pcq
801,14.7,spruce,pcq
802,13.9,fir,pcq
803,16.5,fir,pcq
804,12.1,fir,pcq
805,15.6,fir,pcq
806,13.3,fir,pcq
807,17.8,fir,pcq
808,14.6,fir,pcq
809,16.3,fir,pcq
810,7.1,spruce,pcq
811,26,fir,pcq
812,20.5,pine,pcq
813,12.8,pine,pcq
814,8.4,pine,pcq
815,19.3,pine,pcq
816,21.8,pine,pcq
817,14.4,fir,pcq
818,8.7,fir,pcq
819,24.3,fir,pcq
820,9.9,spruce,pcq
821,19.2,pine,pcq
822,22.5,fir,pcq
823,9.2,spruce,pcq
824,9.2,fir,pcq
825,24.7,pine,pcq
826,17.1,spruce,pcq
827,20.3,spruce,pcq
828,14.3,fir,pcq
829,15.3,fir,pcq
830,17.4,fir,pcq
831,12.2,fir,pcq
832,18.7,fir,pcq
833,30.2,pine,pcq
834,8,fir,pcq
835,9.4,fir,pcq
836,10,fir,pcq
837,7.5,fir,pcq
838,8,fir,pcq
839,6.3,fir,pcq
840,23.5,spruce,pcq
841,20.2,pine,pcq
842,12.3,pine,pcq
843,12.7,spruce,pcq
844,7.6,spruce,pcq
845,16.8,spruce,pcq
846,17.1,spruce,pcq
847,9.9,spruce,pcq
848,22.1,fir,pcq
849,26.7,spruce,pcq
850,8.5,fir,pcq
851,15,fir,pcq
852,11.1,spruce,pcq
853,15.6,spruce,pcq
854,7.8,pine,pcq
855,13.1,fir,pcq
856,32.9,spruce,pcq
857,5.8,fir,pcq
858,20.6,pine,pcq
859,18.3,spruce,pcq
860,6.1,fir,pcq
861,28.7,spruce,pcq
862,6.4,fir,pcq
863,18.1,pine,pcq
864,8.3,fir,pcq
865,7.9,fir,pcq
866,8.4,spruce,pcq
867,11.5,fir,pcq
868,8.2,fir,pcq
869,14.7,pine,pcq
870,11.3,fir,pcq
871,17.2,fir,pcq
872,14.5,fir,pcq
873,6.2,fir,pcq
874,6.3,fir,pcq
875,8.3,fir,pcq
876,8.9,fir,pcq
877,7.7,fir,pcq
878,27.2,pine,pcq
879,17.5,spruce,pcq
880,25.1,spruce,pcq
881,16.7,fir,pcq
882,16.3,fir,pcq
883,23.2,fir,pcq
884,12.5,pine,pcq
885,16.5,spruce,pcq
886,25.1,pine,pcq
887,16.2,pine,pcq
888,9.7,fir,pcq
889,9.2,fir,pcq
890,12.5,spruce,pcq
891,10.7,spruce,pcq
892,8.2,fir,pcq
893,19.2,fir,pcq
894,10.8,spruce,pcq
895,10.7,fir,pcq
896,12.3,fir,pcq
897,8.3,fir,pcq
898,12.6,fir,pcq
899,14.8,fir,pcq
900,15.8,fir,pcq.plot
901,12.2,fir,pcq.plot
902,9.1,fir,pcq.plot
903,8.7,fir,pcq.plot
904,30.5,spruce,pcq.plot
905,7.1,fir,pcq.plot
906,19,spruce,pcq.plot
907,7.7,fir,pcq.plot
908,13.9,spruce,pcq.plot
909,7.4,fir,pcq.plot
910,8.9,spruce,pcq.plot
911,30.5,spruce,pcq.plot
912,21.2,fir,pcq.plot
913,7.3,fir,pcq.plot
914,16.5,spruce,pcq.plot
915,26.2,spruce,pcq.plot
916,11.1,fir,pcq.plot
917,7.6,fir,pcq.plot
918,9.5,fir,pcq.plot
919,8.5,fir,pcq.plot
920,12.5,fir,pcq.plot
921,19,spruce,pcq.plot
922,36.1,spruce,pcq.plot
923,9.9,fir,pcq.plot
924,12.5,spruce,pcq.plot
925,15.6,fir,pcq.plot
926,16,spruce,pcq.plot
927,33.6,fir,pcq.plot
928,7.5,fir,pcq.plot
929,7,spruce,pcq.plot
930,18.7,fir,pcq.plot
931,15.4,fir,pcq.plot
932,11.5,fir,pcq.plot
933,14.8,fir,pcq.plot
934,11.5,fir,pcq.plot
935,9.2,fir,pcq.plot
936,7,fir,pcq.plot
937,13.5,fir,pcq.plot
938,12.5,fir,pcq.plot
939,9.9,fir,pcq.plot
940,19.8,fir,pcq.plot
941,18.6,spruce,pcq.plot
942,12,spruce,pcq.plot
943,7.2,spruce,pcq.plot
944,6,fir,pcq.plot
945,17.5,fir,pcq.plot
946,6.9,spruce,pcq.plot
947,35,spruce,pcq.plot
948,8.2,fir,pcq.plot
949,18.6,fir,pcq.plot
950,24.9,fir,pcq.plot
951,16,fir,pcq.plot
952,22.3,fir,pcq.plot
953,13,fir,pcq.plot
954,19.3,fir,pcq.plot
955,9.6,spruce,pcq.plot
956,17.9,fir,pcq.plot
957,20.7,fir,pcq.plot
958,13,fir,pcq.plot
959,18.5,spruce,pcq.plot
960,15.4,fir,pcq.plot
961,17.4,spruce,pcq.plot
962,20.7,fir,pcq.plot
963,17.1,spruce,pcq.plot
